ID;Nome;Profissão;Horas semanais;Plantões noturnos;Folgas (Últimos 7 dias);SP_GESTOR;Nome_Municipio;Prontidao (%);Status
258;Camila Santos (Rib);Médico Intensivista;40;3;0;354330;Ribeirão Pires;10.0;🔴 Crítico
259;Mariana Lima (Api);Enfermeira Coordenadora;36;0;2;350270;Apiaí;56.0;🟡 Atenção
260;Fernando Costa (Api);Técnica de Enfermagem;36;1;2;350270;Apiaí;46.0;🔴 Crítico
261;Mariana Lima (Des);Médico Intensivista;16;3;1;351370;Descalvado;51.0;🟡 Atenção
262;Lucas Mendes (Des);Enfermeiro;36;1;0;351370;Descalvado;36.0;🔴 Crítico
263;Fernando Costa (Soc);Técnica de Enfermagem;16;1;1;355210;Socorro;71.0;🟢 Apto
264;Juliana Rocha (Soc);Técnica de Enfermagem;12;0;0;355210;Socorro;82.0;🟢 Apto
265;Gabriel Martins (Emb);Enfermeiro;36;1;2;351500;Embu das Artes;46.0;🔴 Crítico
266;Gabriel Martins (Emb);Médico Intensivista;16;2;1;351500;Embu das Artes;61.0;🟡 Atenção
267;Mariana Lima (Ilh);Médico Clínico Geral;40;1;2;352040;Ilhabela;40.0;🔴 Crítico
268;Lucas Mendes (Ilh);Enfermeiro;44;1;2;352040;Ilhabela;34.0;🔴 Crítico
269;Lucas Mendes (Bar);Enfermeiro;30;1;1;350530;Barra Bonita;50.0;🟡 Atenção
270;Fernando Costa (Bar);Médico Clínico Geral;44;3;2;350530;Barra Bonita;14.0;🔴 Crítico
271;Fernando Costa (Var);Médico Clínico Geral;44;0;1;355640;Vargem Grande do Sul;39.0;🔴 Crítico
272;Camila Santos (Var);Técnica de Enfermagem;24;3;2;355640;Vargem Grande do Sul;44.0;🔴 Crítico
273;Ana Silva (Beb);Técnica de Enfermagem;40;0;0;350610;Bebedouro;40.0;🔴 Crítico
274;Lucas Mendes (Beb);Técnica de Enfermagem;30;3;2;350610;Bebedouro;35.0;🔴 Crítico
275;Rafael Ribeiro (Taq);Enfermeiro;24;2;0;355380;Taquarituba;44.0;🔴 Crítico
276;Rafael Ribeiro (Taq);Médico Intensivista;12;3;0;355380;Taquarituba;52.0;🟡 Atenção
277;Ana Silva (Orl);Enfermeiro;24;0;2;353430;Orlândia;74.0;🟢 Apto
278;Mariana Lima (Orl);Enfermeiro;40;0;2;353430;Orlândia;50.0;🟡 Atenção
279;Rafael Ribeiro (São);Enfermeira Coordenadora;24;1;2;355020;São Miguel Arcanjo;64.0;🟡 Atenção
280;Fernando Costa (São);Médico Clínico Geral;36;0;0;355020;São Miguel Arcanjo;46.0;🔴 Crítico
281;Fernando Costa (Gua);Médico Intensivista;36;1;0;351830;Guararema;36.0;🔴 Crítico
282;Juliana Rocha (Gua);Médico Intensivista;30;1;2;351830;Guararema;55.0;🟡 Atenção
283;Fernando Costa (Car);Médico Clínico Geral;24;0;0;351060;Carapicuíba;64.0;🟡 Atenção
284;Fernando Costa (Car);Médico Clínico Geral;40;1;0;351060;Carapicuíba;30.0;🔴 Crítico
285;Gabriel Martins (Mar);Técnica de Enfermagem;30;0;1;352920;Martinópolis;60.0;🟡 Atenção
286;Juliana Rocha (Mar);Enfermeira Coordenadora;16;1;1;352920;Martinópolis;71.0;🟢 Apto
287;Gabriel Martins (Pal);Médico Intensivista;44;3;1;353530;Palmital;9.0;🔴 Crítico
288;Camila Santos (Pal);Enfermeiro;40;2;1;353530;Palmital;25.0;🔴 Crítico
289;Fernando Costa (Aur);Enfermeira Coordenadora;40;3;0;350420;Auriflama;10.0;🔴 Crítico
290;Camila Santos (Aur);Enfermeiro;30;1;1;350420;Auriflama;50.0;🟡 Atenção
291;Juliana Rocha (Alt);Médico Intensivista;30;1;0;350100;Altinópolis;45.0;🔴 Crítico
292;Juliana Rocha (Alt);Enfermeiro;24;3;2;350100;Altinópolis;44.0;🔴 Crítico
293;Camila Santos (Ber);Enfermeiro;16;1;1;350635;Bertioga;71.0;🟢 Apto
294;Beatriz Alves (Ber);Enfermeira Coordenadora;16;0;1;350635;Bertioga;81.0;🟢 Apto
295;Gabriel Martins (Cân);Médico Clínico Geral;44;1;0;351000;Cândido Mota;24.0;🔴 Crítico
296;Beatriz Alves (Cân);Técnica de Enfermagem;24;2;0;351000;Cândido Mota;44.0;🔴 Crítico
297;Ana Silva (Pir);Médico Intensivista;12;0;0;353880;Piraju;82.0;🟢 Apto
298;Rafael Ribeiro (Pir);Médico Clínico Geral;36;3;2;353880;Piraju;26.0;🔴 Crítico
299;Ana Silva (Iga);Médico Clínico Geral;44;1;2;352010;Igarapava;34.0;🔴 Crítico
300;Rafael Ribeiro (Iga);Enfermeira Coordenadora;36;0;1;352010;Igarapava;51.0;🟡 Atenção
301;Ana Silva (Nov);Médico Clínico Geral;12;2;1;353340;Nova Odessa;67.0;🟡 Atenção
302;Lucas Mendes (Nov);Médico Intensivista;16;1;1;353340;Nova Odessa;71.0;🟢 Apto
303;Beatriz Alves (Sal);Médico Intensivista;12;1;0;354530;Salto de Pirapora;72.0;🟢 Apto
304;Carlos Souza (Sal);Médico Intensivista;40;3;0;354530;Salto de Pirapora;10.0;🔴 Crítico
305;Juliana Rocha (Lar);Técnica de Enfermagem;16;3;2;352640;Laranjal Paulista;56.0;🟡 Atenção
306;Rafael Ribeiro (Lar);Enfermeira Coordenadora;44;3;1;352640;Laranjal Paulista;9.0;🔴 Crítico
307;Juliana Rocha (Ang);Enfermeiro;24;2;0;350220;Angatuba;44.0;🔴 Crítico
308;Fernando Costa (Ang);Técnica de Enfermagem;30;1;2;350220;Angatuba;55.0;🟡 Atenção
309;Lucas Mendes (Cun);Técnica de Enfermagem;40;2;0;351360;Cunha;20.0;🔴 Crítico
310;Camila Santos (Cun);Médico Intensivista;30;1;2;351360;Cunha;55.0;🟡 Atenção
311;Carlos Souza (San);Médico Clínico Geral;30;1;0;354770;Santo Anastácio;45.0;🔴 Crítico
312;Rafael Ribeiro (San);Técnica de Enfermagem;40;2;0;354770;Santo Anastácio;20.0;🔴 Crítico
313;Fernando Costa (Mir);Médico Clínico Geral;24;1;2;353030;Mirassol;64.0;🟡 Atenção
314;Mariana Lima (Mir);Enfermeiro;24;1;2;353030;Mirassol;64.0;🟡 Atenção
315;Gabriel Martins (Gua);Técnica de Enfermagem;24;2;1;351820;Guararapes;49.0;🔴 Crítico
316;Beatriz Alves (Gua);Médico Clínico Geral;30;0;0;351820;Guararapes;55.0;🟡 Atenção
317;Gabriel Martins (Pon);Médico Intensivista;44;2;1;354020;Pontal;19.0;🔴 Crítico
318;Carlos Souza (Pon);Enfermeira Coordenadora;16;3;1;354020;Pontal;51.0;🟡 Atenção
319;Carlos Souza (Jun);Enfermeira Coordenadora;36;2;2;352600;Junqueirópolis;36.0;🔴 Crítico
320;Juliana Rocha (Jun);Enfermeiro;40;0;0;352600;Junqueirópolis;40.0;🔴 Crítico
321;Beatriz Alves (Pit);Técnica de Enfermagem;30;3;2;353950;Pitangueiras;35.0;🔴 Crítico
322;Lucas Mendes (Pit);Enfermeira Coordenadora;40;1;1;353950;Pitangueiras;35.0;🔴 Crítico
323;Juliana Rocha (Mig);Médico Clínico Geral;12;3;2;352970;Miguelópolis;62.0;🟡 Atenção
324;Beatriz Alves (Mig);Enfermeiro;44;0;2;352970;Miguelópolis;44.0;🔴 Crítico
325;Fernando Costa (Bar);Técnica de Enfermagem;40;0;1;350520;Bariri;45.0;🔴 Crítico
326;Juliana Rocha (Bar);Enfermeira Coordenadora;40;1;2;350520;Bariri;40.0;🔴 Crítico
327;Ana Silva (Con);Técnica de Enfermagem;36;0;2;351220;Conchal;56.0;🟡 Atenção
328;Rafael Ribeiro (Con);Enfermeiro;12;3;1;351220;Conchal;57.0;🟡 Atenção
329;Camila Santos (Gua);Técnica de Enfermagem;24;0;0;351770;Guará;64.0;🟡 Atenção
330;Mariana Lima (Gua);Técnica de Enfermagem;40;1;1;351770;Guará;35.0;🔴 Crítico
331;Carlos Souza (Cas);Técnica de Enfermagem;30;0;2;351080;Casa Branca;65.0;🟡 Atenção
332;Gabriel Martins (Cas);Médico Intensivista;30;0;0;351080;Casa Branca;55.0;🟡 Atenção
333;Rafael Ribeiro (Mon);Enfermeiro;40;2;1;353180;Monte Mor;25.0;🔴 Crítico
334;Ana Silva (Mon);Enfermeiro;30;3;1;353180;Monte Mor;30.0;🔴 Crítico
335;Camila Santos (Doi);Enfermeira Coordenadora;24;3;1;351410;Dois Córregos;39.0;🔴 Crítico
336;Camila Santos (Doi);Médico Clínico Geral;44;1;1;351410;Dois Córregos;29.0;🔴 Crítico
337;Mariana Lima (Gua);Médico Clínico Geral;36;3;2;351860;Guariba;26.0;🔴 Crítico
338;Carlos Souza (Gua);Enfermeira Coordenadora;30;0;1;351860;Guariba;60.0;🟡 Atenção
339;Lucas Mendes (Tup);Médico Clínico Geral;30;2;2;355510;Tupi Paulista;45.0;🔴 Crítico
340;Gabriel Martins (Tup);Enfermeira Coordenadora;30;3;0;355510;Tupi Paulista;25.0;🔴 Crítico
341;Lucas Mendes (Ser);Enfermeiro;30;1;0;355160;Serra Negra;45.0;🔴 Crítico
342;Beatriz Alves (Ser);Técnica de Enfermagem;24;0;0;355160;Serra Negra;64.0;🟡 Atenção
343;Juliana Rocha (Pir);Médico Clínico Geral;40;3;0;353890;Pirajuí;10.0;🔴 Crítico
344;Carlos Souza (Pir);Enfermeira Coordenadora;24;3;0;353890;Pirajuí;34.0;🔴 Crítico
345;Juliana Rocha (San);Enfermeira Coordenadora;12;1;2;354630;Santa Cruz das Palmeiras;82.0;🟢 Apto
346;Lucas Mendes (San);Técnica de Enfermagem;24;1;1;354630;Santa Cruz das Palmeiras;59.0;🟡 Atenção
347;Mariana Lima (Tab);Enfermeira Coordenadora;36;3;1;355270;Tabatinga;21.0;🔴 Crítico
348;Fernando Costa (Tab);Médico Clínico Geral;40;2;1;355270;Tabatinga;25.0;🔴 Crítico
349;Rafael Ribeiro (Dua);Médico Clínico Geral;12;3;1;351450;Duartina;57.0;🟡 Atenção
350;Mariana Lima (Dua);Médico Intensivista;24;1;2;351450;Duartina;64.0;🟡 Atenção
351;Juliana Rocha (Cer);Médico Clínico Geral;24;0;0;351140;Cerqueira César;64.0;🟡 Atenção
352;Camila Santos (Cer);Técnica de Enfermagem;24;3;2;351140;Cerqueira César;44.0;🔴 Crítico
353;Gabriel Martins (Ita);Enfermeiro;24;2;1;352220;Itapecerica da Serra;49.0;🔴 Crítico
354;Camila Santos (Ita);Médico Clínico Geral;36;3;0;352220;Itapecerica da Serra;16.0;🔴 Crítico
355;Beatriz Alves (Mon);Enfermeira Coordenadora;30;0;1;353150;Monte Azul Paulista;60.0;🟡 Atenção
356;Camila Santos (Mon);Técnica de Enfermagem;12;2;1;353150;Monte Azul Paulista;67.0;🟡 Atenção
357;Camila Santos (San);Enfermeiro;24;3;1;354750;Santa Rita do Passa Quatro;39.0;🔴 Crítico
358;Gabriel Martins (San);Enfermeiro;40;1;0;354750;Santa Rita do Passa Quatro;30.0;🔴 Crítico
359;Mariana Lima (Teo);Enfermeira Coordenadora;40;0;1;355430;Teodoro Sampaio;45.0;🔴 Crítico
360;Beatriz Alves (Teo);Enfermeiro;40;1;0;355430;Teodoro Sampaio;30.0;🔴 Crítico
361;Ana Silva (Bas);Enfermeiro;30;0;2;350580;Bastos;65.0;🟡 Atenção
362;Camila Santos (Bas);Técnica de Enfermagem;36;0;0;350580;Bastos;46.0;🔴 Crítico
363;Gabriel Martins (Ita);Médico Clínico Geral;24;0;1;352280;Itaporanga;69.0;🟡 Atenção
364;Gabriel Martins (Ita);Técnica de Enfermagem;36;2;2;352280;Itaporanga;36.0;🔴 Crítico
365;Camila Santos (Ita);Enfermeira Coordenadora;40;3;1;352170;Itaberá;15.0;🔴 Crítico
366;Lucas Mendes (Ita);Enfermeiro;16;3;0;352170;Itaberá;46.0;🔴 Crítico
367;Mariana Lima (Pil);Técnica de Enfermagem;24;1;0;353790;Pilar do Sul;54.0;🟡 Atenção
368;Mariana Lima (Pil);Técnica de Enfermagem;44;2;1;353790;Pilar do Sul;19.0;🔴 Crítico
369;Juliana Rocha (Bro);Médico Clínico Geral;16;3;1;350790;Brotas;51.0;🟡 Atenção
370;Lucas Mendes (Bro);Médico Clínico Geral;12;3;2;350790;Brotas;62.0;🟡 Atenção
371;Lucas Mendes (Tie);Médico Intensivista;16;0;0;355450;Tietê;76.0;🟢 Apto
372;Rafael Ribeiro (Tie);Médico Clínico Geral;24;3;2;355450;Tietê;44.0;🔴 Crítico
373;Ana Silva (Far);Enfermeira Coordenadora;12;0;0;351540;Fartura;82.0;🟢 Apto
374;Fernando Costa (Far);Médico Clínico Geral;40;2;0;351540;Fartura;20.0;🔴 Crítico
375;Ana Silva (Vár);Médico Clínico Geral;36;0;1;355650;Várzea Paulista;51.0;🟡 Atenção
376;Fernando Costa (Vár);Técnica de Enfermagem;40;3;2;355650;Várzea Paulista;20.0;🔴 Crítico
377;Beatriz Alves (Ibi);Enfermeiro;12;1;2;351970;Ibiúna;82.0;🟢 Apto
378;Rafael Ribeiro (Ibi);Enfermeira Coordenadora;12;3;1;351970;Ibiúna;57.0;🟡 Atenção
379;Camila Santos (Tam);Enfermeiro;40;1;0;355330;Tambaú;30.0;🔴 Crítico
380;Gabriel Martins (Tam);Enfermeiro;12;0;0;355330;Tambaú;82.0;🟢 Apto
381;Juliana Rocha (San);Médico Clínico Geral;24;2;2;354760;Santa Rosa de Viterbo;54.0;🟡 Atenção
382;Mariana Lima (San);Enfermeira Coordenadora;44;0;2;354760;Santa Rosa de Viterbo;44.0;🔴 Crítico
383;Ana Silva (São);Técnica de Enfermagem;36;2;1;355010;São Manuel;31.0;🔴 Crítico
384;Beatriz Alves (São);Enfermeiro;24;3;0;355010;São Manuel;34.0;🔴 Crítico
385;Rafael Ribeiro (Ped);Técnica de Enfermagem;30;0;0;353710;Pedreira;55.0;🟡 Atenção
386;Juliana Rocha (Ped);Enfermeiro;16;0;0;353710;Pedreira;76.0;🟢 Apto
387;Fernando Costa (Bor);Médico Intensivista;44;2;0;350740;Borborema;14.0;🔴 Crítico
388;Ana Silva (Bor);Técnica de Enfermagem;16;1;1;350740;Borborema;71.0;🟢 Apto
389;Gabriel Martins (Pal);Técnica de Enfermagem;16;0;2;353520;Palmeira d'Oeste;86.0;🟢 Apto
390;Mariana Lima (Pal);Médico Clínico Geral;12;0;1;353520;Palmeira d'Oeste;87.0;🟢 Apto
391;Camila Santos (Ita);Médico Intensivista;44;1;2;352190;Itajobi;34.0;🔴 Crítico
392;Rafael Ribeiro (Ita);Médico Intensivista;16;2;2;352190;Itajobi;66.0;🟡 Atenção
393;Camila Santos (Pre);Técnica de Enfermagem;24;1;0;354120;Presidente Bernardes;54.0;🟡 Atenção
394;Beatriz Alves (Pre);Médico Intensivista;24;3;1;354120;Presidente Bernardes;39.0;🔴 Crítico
395;Gabriel Martins (Cai);Médico Intensivista;36;1;2;350900;Caieiras;46.0;🔴 Crítico
396;Mariana Lima (Cai);Enfermeira Coordenadora;12;0;1;350900;Caieiras;87.0;🟢 Apto
397;Rafael Ribeiro (Bur);Enfermeiro;12;2;0;350810;Buritama;62.0;🟡 Atenção
398;Camila Santos (Bur);Médico Clínico Geral;36;1;0;350810;Buritama;36.0;🔴 Crítico
399;Lucas Mendes (Ber);Enfermeira Coordenadora;40;3;0;350630;Bernardino de Campos;10.0;🔴 Crítico
400;Juliana Rocha (Ber);Médico Clínico Geral;16;3;2;350630;Bernardino de Campos;56.0;🟡 Atenção
401;Carlos Souza (Pir);Enfermeira Coordenadora;36;1;1;353900;Pirangi;41.0;🔴 Crítico
402;Camila Santos (Pir);Enfermeira Coordenadora;24;3;2;353900;Pirangi;44.0;🔴 Crítico
403;Lucas Mendes (Par);Técnica de Enfermagem;16;2;0;353580;Paranapanema;56.0;🟡 Atenção
404;Carlos Souza (Par);Técnica de Enfermagem;30;0;2;353580;Paranapanema;65.0;🟡 Atenção
405;Gabriel Martins (Caf);Médico Clínico Geral;36;2;0;350880;Cafelândia;26.0;🔴 Crítico
406;Rafael Ribeiro (Caf);Técnica de Enfermagem;12;2;2;350880;Cafelândia;72.0;🟢 Apto
407;Ana Silva (Tag);Médico Clínico Geral;16;3;2;355300;Taguaí;56.0;🟡 Atenção
408;Gabriel Martins (Tag);Médico Intensivista;40;3;0;355300;Taguaí;10.0;🔴 Crítico
409;Ana Silva (Agu);Técnica de Enfermagem;30;3;1;350070;Agudos;30.0;🔴 Crítico
410;Beatriz Alves (Agu);Enfermeira Coordenadora;12;0;1;350070;Agudos;87.0;🟢 Apto
411;Fernando Costa (Cas);Médico Intensivista;24;2;0;351100;Castilho;44.0;🔴 Crítico
412;Rafael Ribeiro (Cas);Enfermeira Coordenadora;24;1;1;351100;Castilho;59.0;🟡 Atenção
413;Beatriz Alves (Val);Médico Intensivista;16;1;2;355630;Valparaíso;76.0;🟢 Apto
414;Beatriz Alves (Val);Médico Intensivista;36;1;0;355630;Valparaíso;36.0;🔴 Crítico
415;Juliana Rocha (Ipu);Técnica de Enfermagem;30;0;2;352130;Ipuã;65.0;🟡 Atenção
416;Ana Silva (Ipu);Enfermeiro;16;3;0;352130;Ipuã;46.0;🔴 Crítico
417;Fernando Costa (Get);Médico Clínico Geral;36;2;2;351700;Getulina;36.0;🔴 Crítico
418;Fernando Costa (Get);Enfermeiro;36;3;1;351700;Getulina;21.0;🔴 Crítico
419;Carlos Souza (Our);Enfermeiro;36;0;0;353475;Ouroeste;46.0;🔴 Crítico
420;Juliana Rocha (Our);Enfermeira Coordenadora;40;0;2;353475;Ouroeste;50.0;🟡 Atenção
421;Mariana Lima (Reg);Médico Intensivista;24;1;1;354240;Regente Feijó;59.0;🟡 Atenção
422;Beatriz Alves (Reg);Técnica de Enfermagem;12;0;1;354240;Regente Feijó;87.0;🟢 Apto
423;Ana Silva (Naz);Técnica de Enfermagem;24;2;2;353240;Nazaré Paulista;54.0;🟡 Atenção
424;Mariana Lima (Naz);Enfermeiro;44;3;0;353240;Nazaré Paulista;4.0;🔴 Crítico
425;Fernando Costa (Per);Enfermeira Coordenadora;44;1;2;353740;Pereira Barreto;34.0;🔴 Crítico
426;Carlos Souza (Per);Médico Clínico Geral;36;0;2;353740;Pereira Barreto;56.0;🟡 Atenção
427;Juliana Rocha (Pot);Enfermeiro;16;2;0;354080;Potirendaba;56.0;🟡 Atenção
428;Beatriz Alves (Pot);Técnica de Enfermagem;30;0;0;354080;Potirendaba;55.0;🟡 Atenção
429;Beatriz Alves (Tab);Médico Intensivista;40;2;2;355260;Tabapuã;30.0;🔴 Crítico
430;Lucas Mendes (Tab);Enfermeiro;24;1;0;355260;Tabapuã;54.0;🟡 Atenção
431;Beatriz Alves (Luc);Médico Clínico Geral;40;2;2;352740;Lucélia;30.0;🔴 Crítico
432;Rafael Ribeiro (Luc);Técnica de Enfermagem;30;0;1;352740;Lucélia;60.0;🟡 Atenção
433;Mariana Lima (Álv);Médico Intensivista;40;0;2;350130;Álvares Machado;50.0;🟡 Atenção
434;Juliana Rocha (Álv);Médico Intensivista;30;3;1;350130;Álvares Machado;30.0;🔴 Crítico
435;Ana Silva (Gen);Enfermeira Coordenadora;30;1;2;351690;General Salgado;55.0;🟡 Atenção
436;Mariana Lima (Gen);Médico Intensivista;24;3;0;351690;General Salgado;34.0;🔴 Crítico
437;Carlos Souza (Mar);Técnica de Enfermagem;12;2;0;352880;Maracaí;62.0;🟡 Atenção
438;Fernando Costa (Mar);Enfermeiro;24;2;2;352880;Maracaí;54.0;🟡 Atenção
439;Camila Santos (Ser);Técnica de Enfermagem;24;3;2;355150;Serrana;44.0;🔴 Crítico
440;Ana Silva (Ser);Médico Clínico Geral;36;0;0;355150;Serrana;46.0;🔴 Crítico
441;Mariana Lima (Mac);Enfermeira Coordenadora;24;2;1;352800;Macatuba;49.0;🔴 Crítico
442;Juliana Rocha (Mac);Médico Intensivista;36;0;2;352800;Macatuba;56.0;🟡 Atenção
443;Mariana Lima (Col);Médico Intensivista;40;0;1;351200;Colina;45.0;🔴 Crítico
444;Beatriz Alves (Col);Técnica de Enfermagem;16;3;1;351200;Colina;51.0;🟡 Atenção
445;Gabriel Martins (Iep);Médico Clínico Geral;16;0;2;351990;Iepê;86.0;🟢 Apto
446;Mariana Lima (Iep);Médico Intensivista;40;2;2;351990;Iepê;30.0;🔴 Crítico
447;Juliana Rocha (Est);Enfermeira Coordenadora;16;0;2;351520;Estrela d'Oeste;86.0;🟢 Apto
448;Beatriz Alves (Est);Médico Clínico Geral;12;3;0;351520;Estrela d'Oeste;52.0;🟡 Atenção
449;Gabriel Martins (Rib);Enfermeiro;44;0;0;354300;Ribeirão Branco;34.0;🔴 Crítico
450;Ana Silva (Rib);Técnica de Enfermagem;30;3;0;354300;Ribeirão Branco;25.0;🔴 Crítico
451;Gabriel Martins (Cer);Médico Clínico Geral;24;1;2;351150;Cerquilho;64.0;🟡 Atenção
452;Fernando Costa (Cer);Enfermeira Coordenadora;16;1;1;351150;Cerquilho;71.0;🟢 Apto
453;Carlos Souza (São);Enfermeiro;24;3;2;355080;São Sebastião da Grama;44.0;🔴 Crítico
454;Lucas Mendes (São);Médico Intensivista;36;2;2;355080;São Sebastião da Grama;36.0;🔴 Crítico
455;Rafael Ribeiro (Iba);Técnica de Enfermagem;12;2;1;351930;Ibaté;67.0;🟡 Atenção
456;Carlos Souza (Iba);Médico Intensivista;40;3;1;351930;Ibaté;15.0;🔴 Crítico
457;Carlos Souza (Cab);Enfermeira Coordenadora;36;3;2;350840;Cabreúva;26.0;🔴 Crítico
458;Juliana Rocha (Cab);Enfermeira Coordenadora;44;1;1;350840;Cabreúva;29.0;🔴 Crítico
459;Beatriz Alves (Pir);Médico Clínico Geral;40;0;2;353860;Piracaia;50.0;🟡 Atenção
460;Beatriz Alves (Pir);Enfermeiro;12;0;1;353860;Piracaia;87.0;🟢 Apto
461;Mariana Lima (Águ);Médico Clínico Geral;36;2;0;350050;Águas de Lindóia;26.0;🔴 Crítico
462;Ana Silva (Águ);Médico Intensivista;12;1;2;350050;Águas de Lindóia;82.0;🟢 Apto
463;Fernando Costa (Pom);Técnica de Enfermagem;16;3;1;354000;Pompéia;51.0;🟡 Atenção
464;Fernando Costa (Pom);Enfermeiro;16;1;1;354000;Pompéia;71.0;🟢 Apto
465;Fernando Costa (Ibi);Enfermeiro;44;1;1;351940;Ibirá;29.0;🔴 Crítico
466;Juliana Rocha (Ibi);Médico Intensivista;24;2;1;351940;Ibirá;49.0;🔴 Crítico
467;Camila Santos (Ipa);Técnica de Enfermagem;16;3;1;352090;Ipaussu;51.0;🟡 Atenção
468;Ana Silva (Ipa);Médico Intensivista;12;2;0;352090;Ipaussu;62.0;🟡 Atenção
469;Lucas Mendes (Sal);Médico Clínico Geral;36;1;1;354500;Salesópolis;41.0;🔴 Crítico
470;Gabriel Martins (Sal);Médico Clínico Geral;44;3;1;354500;Salesópolis;9.0;🔴 Crítico
471;Camila Santos (Rio);Médico Clínico Geral;40;0;0;354400;Rio das Pedras;40.0;🔴 Crítico
472;Carlos Souza (Rio);Técnica de Enfermagem;24;2;0;354400;Rio das Pedras;44.0;🔴 Crítico
473;Mariana Lima (Sal);Enfermeiro;30;3;1;354540;Salto Grande;30.0;🔴 Crítico
474;Gabriel Martins (Sal);Técnica de Enfermagem;24;0;1;354540;Salto Grande;69.0;🟡 Atenção
475;Rafael Ribeiro (Ces);Médico Intensivista;24;0;0;351160;Cesário Lange;64.0;🟡 Atenção
476;Camila Santos (Ces);Médico Intensivista;36;0;2;351160;Cesário Lange;56.0;🟡 Atenção
477;Beatriz Alves (Gua);Enfermeira Coordenadora;44;2;0;351780;Guaraçaí;14.0;🔴 Crítico
478;Gabriel Martins (Gua);Técnica de Enfermagem;36;0;0;351780;Guaraçaí;46.0;🔴 Crítico
479;Camila Santos (Vir);Médico Clínico Geral;24;0;2;355680;Viradouro;74.0;🟢 Apto
480;Mariana Lima (Vir);Técnica de Enfermagem;36;3;2;355680;Viradouro;26.0;🔴 Crítico
481;Beatriz Alves (Uru);Técnica de Enfermagem;36;1;0;355600;Urupês;36.0;🔴 Crítico
482;Carlos Souza (Uru);Enfermeira Coordenadora;12;2;2;355600;Urupês;72.0;🟢 Apto
483;Camila Santos (Mon);Enfermeiro;30;0;2;353110;Mongaguá;65.0;🟡 Atenção
484;Fernando Costa (Mon);Médico Intensivista;16;0;0;353110;Mongaguá;76.0;🟢 Apto
485;Lucas Mendes (Ita);Médico Clínico Geral;12;0;1;352180;Itaí;87.0;🟢 Apto
486;Carlos Souza (Ita);Médico Clínico Geral;30;0;2;352180;Itaí;65.0;🟡 Atenção
487;Mariana Lima (San);Técnica de Enfermagem;44;3;1;354560;Santa Adélia;9.0;🔴 Crítico
488;Gabriel Martins (San);Médico Clínico Geral;40;3;0;354560;Santa Adélia;10.0;🔴 Crítico
489;Mariana Lima (Ita);Enfermeiro;30;0;2;352350;Itatinga;65.0;🟡 Atenção
490;Lucas Mendes (Ita);Médico Intensivista;12;0;1;352350;Itatinga;87.0;🟢 Apto
491;Beatriz Alves (Que);Médico Intensivista;36;3;2;354190;Queluz;26.0;🔴 Crítico
492;Lucas Mendes (Que);Médico Intensivista;40;0;0;354190;Queluz;40.0;🔴 Crítico
493;Rafael Ribeiro (Ind);Enfermeira Coordenadora;40;0;1;352070;Indiaporã;45.0;🔴 Crítico
494;Lucas Mendes (Ind);Médico Clínico Geral;12;2;2;352070;Indiaporã;72.0;🟢 Apto
495;Camila Santos (Caj);Técnica de Enfermagem;30;1;0;350930;Cajobi;45.0;🔴 Crítico
496;Lucas Mendes (Caj);Médico Clínico Geral;16;3;1;350930;Cajobi;51.0;🟡 Atenção
497;Ana Silva (Emb);Técnica de Enfermagem;30;2;2;351510;Embu-Guaçu;45.0;🔴 Crítico
498;Lucas Mendes (Emb);Enfermeiro;16;3;2;351510;Embu-Guaçu;56.0;🟡 Atenção
499;Camila Santos (São);Médico Intensivista;16;2;2;354860;São Bento do Sapucaí;66.0;🟡 Atenção
500;Beatriz Alves (São);Médico Clínico Geral;36;1;2;354860;São Bento do Sapucaí;46.0;🔴 Crítico
501;Juliana Rocha (Amé);Técnica de Enfermagem;12;2;1;350170;Américo Brasiliense;67.0;🟡 Atenção
502;Beatriz Alves (Amé);Técnica de Enfermagem;12;1;2;350170;Américo Brasiliense;82.0;🟢 Apto
503;Mariana Lima (Cha);Médico Clínico Geral;36;2;2;351170;Charqueada;36.0;🔴 Crítico
504;Juliana Rocha (Cha);Médico Clínico Geral;24;3;0;351170;Charqueada;34.0;🔴 Crítico
505;Fernando Costa (Joa);Enfermeira Coordenadora;36;1;2;352550;Joanópolis;46.0;🔴 Crítico
506;Carlos Souza (Joa);Médico Intensivista;36;0;0;352550;Joanópolis;46.0;🔴 Crítico
507;Juliana Rocha (Urâ);Técnica de Enfermagem;30;0;2;355580;Urânia;65.0;🟡 Atenção
508;Gabriel Martins (Urâ);Médico Clínico Geral;16;3;1;355580;Urânia;51.0;🟡 Atenção
509;Lucas Mendes (São);Médico Clínico Geral;44;0;1;355000;São Luiz do Paraitinga;39.0;🔴 Crítico
510;Juliana Rocha (São);Médico Intensivista;12;2;1;355000;São Luiz do Paraitinga;67.0;🟡 Atenção
511;Rafael Ribeiro (Ita);Enfermeira Coordenadora;12;1;0;352290;Itapuí;72.0;🟢 Apto
512;Beatriz Alves (Ita);Técnica de Enfermagem;36;2;2;352290;Itapuí;36.0;🔴 Crítico
513;Ana Silva (Rib);Médico Clínico Geral;44;2;2;354290;Ribeirão Bonito;24.0;🔴 Crítico
514;Gabriel Martins (Rib);Técnica de Enfermagem;44;3;1;354290;Ribeirão Bonito;9.0;🔴 Crítico
